I-1.mzXML height,I-10.mzXML height,I-11.mzXML height,I-12.mzXML height,I-13.mzXML height,I-14.mzXML height,I-15.mzXML height,I-16.mzXML height,I-17.mzXML height,I-18.mzXML height,I-19.mzXML height,I-2.mzXML height,I-20.mzXML height,I-21.mzXML height,I-22.mzXML height,I-3.mzXML height,I-4.mzXML height,I-5.mzXML height,I-6.mzXML height,I-7.mzXML height,I-8.mzXML height,I-9.mzXML height,J-67.mzXML height,J-68.mzXML height,J-69.mzXML height,J-70.mzXML height,J-71.mzXML height,J-72.mzXML height,J-73.mzXML height,J-74.mzXML height,J-75.mzXML height,J-76.mzXML height,J-77.mzXML height,J-78.mzXML height,J-79.mzXML height,J-80.mzXML height,J-81.mzXML height,J-82.mzXML height,J-83.mzXML height,J-84.mzXML height,J-85.mzXML height,J-86.mzXML height,J-87.mzXML height,J-88.mzXML height,Li-23.mzXML height,Li-24.mzXML height,Li-25.mzXML height,Li-26.mzXML height,Li-27.mzXML height,Li-28.mzXML height,Li-29.mzXML height,Li-30.mzXML height,Li-31.mzXML height,Li-32.mzXML height,Li-33.mzXML height,Li-34.mzXML height,Li-35.mzXML height,Li-36.mzXML height,Li-37.mzXML height,Li-38.mzXML height,Li-39.mzXML height,Li-40.mzXML height,Li-41.mzXML height,Li-42.mzXML height,Li-43.mzXML height,Li-44.mzXML height,Lu-101.mzXML height,Lu-102.mzXML height,Lu-103.mzXML height,Lu-104.mzXML height,Lu-105.mzXML height,Lu-106.mzXML height,Lu-107.mzXML height,Lu-108.mzXML height,Lu-109.mzXML height,Lu-110.mzXML height,Lu-89.mzXML height,Lu-90.mzXML height,Lu-91.mzXML height,Lu-92.mzXML height,Lu-93.mzXML height,Lu-94.mzXML height,Lu-95-rerun2.mzXML height,Lu-96.mzXML height,Lu-97.mzXML height,Lu-98.mzXML height,Lu-99.mzXML height,M-45.mzXML height,M-46.mzXML height,M-47.mzXML height,M-48.mzXML height,M-49.mzXML height,M-50.mzXML height,M-51.mzXML height,M-52.mzXML height,M-53.mzXML height,M-54.mzXML height,M-55.mzXML height,M-56.mzXML height,M-57.mzXML height,M-58.mzXML height,M-59.mzXML height,M-60.mzXML height,M-61.mzXML height,M-62.mzXML height,M-63.mzXML height,M-64.mzXML height,M-65.mzXML height,M-66.mzXML height
609055.4426,1142243,816383.3125,1093841,711415.9375,771840.8125,1416424.625,1443609.125,1794093,1404542.625,,701019.125,769804.25,963313.6875,755696.1875,658612.4375,760792.125,571367.25,488476.4063,1135964.75,447700.8125,822941.4375,793332.375,1168335.014,850813.5,421270.6807,559156.875,678982.9375,1159138.125,1160644.25,922345.1875,340566.0822,773691.8125,494540.5,335963.6563,688141.9387,435605.0938,496060.625,1007744.051,513181.3438,577488,536565.875,454083.4063,591642.9375,850319.4375,1966397.875,1765836.297,1005888.925,1913923.25,,2404957,,3164337.5,1741443,,1337706.25,631612.0259,852457.375,680962.75,,366008.7953,675376.5601,940943.8181,1930331.75,864213.2749,,479881.25,905648.3184,633113.875,249024.3438,522296.125,466770.5938,550363.6683,948130,487513.0313,845641,,847972.3125,479262.6015,424277.375,1107546.875,137522.9367,1455084.5,872433.5,,1062124.75,926535.4375,,546437.8206,475985.7813,277975.9821,447262.3979,329106.8423,358099.8529,700321.8125,,685537.625,629695.8125,,401496.7813,470188.1903,303832.5988,437277.1563,,489162.125,375906.2188,670816.375,,575042.75
1621997.375,1576497.75,1316610.357,1567477.982,,1636994.993,2118424.25,1908981.5,1709167.25,1765896.5,2186400.75,1697970.625,,1867477.968,,1725920.125,1555531.25,1710772,,1752520.875,1828458.75,1729177.338,,1892432.376,,1669862,,1789294.375,1834273.859,1686184.875,1968835.25,,,,,,,,2021257.667,,,1786606.63,2009535.383,1856044.828,1835793.625,2086858,1816801.546,,,1883803.25,,1982840.676,2228687,1687041.25,1813340.094,2359322.5,2155625.105,1968279,1992450,1697198.403,1997160,1416535.5,2330538,1989233.5,,1962253.75,1911371.875,1964148.75,1878454.875,2021290.875,,1768151.375,1719492.5,,1788803.75,1361339.75,,1543128.844,1384666.75,,1925028.375,,3009388.5,,,1378654.5,,1521011.018,,,1773990.375,,1618990.875,1726241,1439057.415,1484541.625,1776578.5,,,1775042.75,1879012.465,1380996.731,1736559.394,1618766.375,1870054.875,2170965.25,,,
1146174.5,,1185177.163,1137058.387,1113714.75,1066696.125,,792747.6739,598952.5249,1200651.84,1267198.656,749870.848,1127396.625,1246730.535,1280939.75,1088906.125,1058919.923,1046318.875,1017568.625,1118075.75,,1069800.625,1087572.625,1103623.375,695398.6809,1051512.331,1179077.5,1220189.5,1146512.009,1091814.375,1244412.375,1007683.25,1192517.188,1211332.125,,1233494.125,1161091.5,,1325680.75,1386784.625,1040013.091,1196453,1293684.125,1294248.625,1059481.712,,867169.6248,905807.5625,891393.4449,938871.125,1005594.968,1082591.566,1249717.125,1146112.125,1105507.25,1085332.75,1122926.125,1177614.375,1103330,1152110.375,1171600.8,1343663.625,1358912.663,1379085.67,1348106.694,1038964.329,1418155.75,1732932.25,1363536.25,,1893133.5,1369793.625,1662412.25,1981332.375,1512388.5,1508420.625,998593.375,,1079531,,1319970.75,,2960932.5,1335019,,1145951.875,1418986.625,1090433.375,1124838.448,1132146.96,1004759.688,1043588.026,1105754.353,1005402.125,1071925.625,1017136.169,972088.3125,1035089.629,1063248.625,1084108.25,1018235.875,1018716.438,1134011,1094947,1250004.5,1041258.175,998633.75,,1050876.375
2721470.75,2488667.605,2561618.77,2651928.5,2564763.611,2622384.5,2637806,2595917.75,2606124.223,2630895,2639519,2588442.5,2587708.25,2587432.394,2697886.739,2537914.839,2594333.5,2578355.5,2596421.25,2549756.5,2587340.5,2513190,2425344,2503598.25,2465261.75,2482405.655,2477273.243,2543079.25,2547303,2325698.105,2608053,2190776.75,2428890.062,2605009.25,2420309.25,2523781.047,2425642.649,2547756,2533982.5,2606387.323,2472250,2538498,2615336,2585451.25,2559214.535,2513347.75,2516060.08,2557081.75,2675337.25,2557478.5,2610172,2581264.75,2481442.5,2578786,2416150.107,2594124.75,2568682.5,2609969.75,2539473,2587760,2574769.83,2567304.5,,2576426.25,2463599.25,2611598.25,2215187,2379454.25,2418602.977,1232974.358,2252195.136,2366855.908,2318409.25,2465324.75,2447489.482,2447277.75,2397425.5,2376401.202,2314272.25,2427904.5,2412372.5,,2132625.75,2267747.126,,2383072.5,2371830.5,2403159.25,2321106.25,2338700.5,2345475.25,2170020.75,2319021.5,2233583.5,2239089.073,2345941.25,2314535.25,2352064.25,2362209.5,2243301.208,2218942.5,2414677.5,2413895,2415543,2394161.5,2266644.56,2378070.25,,2337182.25
622985.5061,1428532.5,2266526.954,475295.875,1298534.5,669890.5,1426742.625,1070578.304,1932771.375,1900468.375,2010144.5,970452.6875,855882.75,579278.25,872103.1875,830033.8468,1577055.297,1009792.87,396346.0083,1593342.25,2028377.345,1731590.125,1094235.664,1944056.25,747463.9375,977767.1875,2402368.75,1177184.375,1023394.875,994414.3125,1608059,176530.1563,895222.7519,2140514.75,718814.4375,898785.4375,631840.5625,789065.5,1372504.375,1325938.625,895433.5625,601410.0625,965050.1875,716784.25,1185778.786,2317948.5,1466853.953,1856462.5,2292399.25,1192053.125,1276801.773,729026.625,1674761.8,1084119.345,765201.875,1192319.339,819362.1875,1046338.75,713689.75,1351503.389,896833.125,946428.25,1640379.901,1522232.125,1190428.75,1524799.25,842973.5,978427.3746,1017867.563,602992.125,1272665,974888.9375,1260187.75,1139901.499,1017874.5,893501.6875,719427.125,774272.6742,827691.3712,880672.875,955646.4375,198552.1659,1205417.625,759319.8125,,743426.625,1140499.125,,,,,,,,,,,,,,,,,,,,,,
,,221267.4087,,470132.2933,,400602.625,,,,1072946.75,,,,,559741.3916,,466276.8554,384953.9063,,997007.6387,,783629.3977,,593576.0241,,1405167.5,1269918.375,,,1570149.75,213737.2762,,2300002.856,492499.4251,,,345033.083,,,994275.4438,775040.4803,395919.3604,379025.5227,346128.1562,,,,138301.0625,,,,,,,67480.29728,138509.4063,,,,,,,,155259.4033,,,976361.25,748258.0625,,,,,,770613,329071.8712,,,,,906645,,850041.7341,,,,,,,,,,,,,,,,,,,,,,,,,,
876422.2513,1572030.625,1162982.375,1398306.25,868917.3125,1798249.875,1129883,1347181.5,1852696.875,1559101.209,2021928.25,746666.0625,1054545.625,1432386.375,,989627.4375,710952.3415,,1135898.375,1698085.875,,,1225482.375,1289180.092,1036357.465,847832.4955,813193.3586,947805.6785,1411018,971108.875,1806408.375,1290338.875,815551.625,801086.125,,933211.8153,629367.5625,714077.5326,1946789.125,524450.625,1177508.375,538877.5209,,,967329,1932922,1360064.875,1266746.75,1471691.375,1255839.375,1742188.386,798418.25,2027659.625,2281148.348,791021.2779,1491310.75,,1197112.5,843145.625,981330.25,1095744.336,818565.8656,1307153.875,,980070.375,,765087.8125,1192595.5,,,,483309.445,995222.5924,857420.9375,,,,1053165.395,,,1490622.328,,1921708.125,,,,1066242.738,528553.5021,615613.4483,643757.6875,572345.125,850730.5558,,816830.0625,684747.5625,636622.25,999938,,1267265.816,852485.375,873656.6512,638486.8125,855404.9413,,,,587003.0613,,831100.6487
241815.875,1415736.25,2024009.25,481035.6875,912080.5,456300.9375,1556573.75,884634.7924,1892304.375,1755448.5,1772808.75,637419.75,1081251.375,,910712.4375,986979.9375,1409088.25,1308193.25,585673,1128390,1112053.25,1579501.875,857764.125,507438.3438,522692.5,1329729.803,841095.875,1045556.891,536320.625,1024401.5,1379214.625,357752.5501,1346316.5,1064869.375,702884.375,954574.7614,655483.9375,1266284.263,1008576.125,2054448.375,888091.0301,637652.6266,684026.3196,681368.0095,744353.625,875406.8125,1203646.25,,1398322.089,858004.6123,1721589.75,1433985.875,1947166.5,1259116.536,1742319.75,1580478.274,1107942.875,2051690.25,1212512.25,1697618.875,1071857.25,1059180.375,2102505.75,1696687.375,1573980.625,1459454.75,649996.8154,1234858.375,722707.6388,,1024185.938,1018191.25,840016.625,996840.625,983165.375,814620.75,779421.9375,757100.229,617212.375,704974.25,1042773.125,,583750,584370.6182,,824695.5,1154321.375,,,,,,,,,,,,,,,,,,,,,,
,468348.5625,499930.8438,256707.726,403816.375,187340.6901,257647.5425,177150.5587,,609375.375,,,295922.8048,306845.0938,208055.6406,219350.5781,,162077.4688,,,327938.1663,396526.3952,954104.5461,,,611823.9375,358849.7167,901025.4767,395861.5313,511580.875,699519.4375,347487.25,282559.7221,423449.364,382480.8277,331771.9258,,417146.8125,642146.4375,559722.3941,530146.177,,414784.375,,,1780894,1050745.405,1458875.5,489973.8492,1143411.538,,931182.8125,1958819.75,830297.375,1240432.501,607788.0726,1770090.852,783301.5934,,,1376697.25,798443.8705,1075535.625,1289662.625,1160489.125,1189517.946,522534.6563,439062.75,512046.2633,1304487.75,783878.9722,,469834.0537,,462689.7813,404850.1283,158543.2507,290196.5625,,319516.5625,,,2056465.5,231996.8909,,177215.5938,,,,,71872.35561,,,91393.91406,,,,56459.00989,,,42760.57291,,,,,67624.40927,,,
1519214,1483161.941,1510296.75,1620529.358,1521245,1553112.125,1599698.875,1608576.625,1556959.375,1538723.875,1554681.625,1447507.424,1584209.75,1719047.625,1582925.25,1515949.625,1415446,1448407,1468632.5,1517940.75,1426809.25,732267.0625,1485610.75,1593204.125,1595159.25,1524012.25,1578578.625,,1594861.625,1539790.25,1592704.125,1425965.5,1163108.75,1574664.625,,1593466.75,1454129.375,1481998.375,1624354.5,1580644.75,1664638.5,1552441.375,1634970.465,1607897.907,1618447.875,1578145.25,1598338.5,1561568.375,1614902,1564002,1595196.125,1662473.875,,1689073.5,1641965,1644584,1658254.858,1654961.25,1641195.5,1641619.625,1639297.375,1679988.375,1587242.1,1636754.875,1642912.25,1639557.625,1416205.375,1437483.304,1462879.5,1389263.644,1487486.125,1491143.75,1412095,1482436.5,1511776.75,1536994.875,1387754.375,1423071.875,1328226.125,1480536,1514810.75,315660.375,1967716.547,1359508.375,,1392537.25,1366103.653,1357786.625,1425361.625,1403726.375,1333162,1310765.25,1340880.019,1393213.259,1298609.5,1347787.5,1309930.625,1393362.375,1317948.162,1386055.625,1316300.018,1364602.125,1384052.75,1355539.375,1339397.139,1377584.5,1318687.5,,1384783.125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1694107.43,1300564.25,1892629.625,1066898.411,1657139.195,1284943.125,,1833554.625,682149.7778,1134879.375,,1337317.537,1007998.375,810467.875,1081036.116,1074994.67,931086.1875,1559827.125,1109563.75,1230142.5,1131721.375,63498.73741,,,166210.0914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,469781.3366,181123.3678,,544714.5625,323431.3052,,467378.3093,,,731577.3583,228317.1719,,,,,,,,,,,,,,,,488917.9688,249444.0156,,,,421665.6061,,443026.9134,,864511.75,,,529088.5625,608729.0625,,,,,,,,,,1256078.736,,,,,,,,,,,,,582170.4982,867154.75,,1338913.125,1363531.5,759165.125,,562236.788,759318.9375,802715.1401,,400230.4904,,172454.5856,582001.8007,,1520298.125,530821.0319,,421816.3125,564479.9375,,,,,,,,,413776.383,,,,,849811.75,,,,1821298.875,1312904.75,,,
,775412.6875,533830.7926,,,,577975.3996,925406,893595.4419,,,565066.1875,,,,365324.3936,289221.5575,,,1009590.688,481788.8438,701937.875,520247.9063,,,,,,,,1065441.125,496011.149,,248247.9922,,,,,1218800.968,,305204.0249,,,,,,556936.3125,,520746.625,615625.375,736858,417665.5938,1119861.052,1817753.125,704966.5448,,678289.8125,688076.4375,511612.1563,411074.3689,617128.4889,498793.503,493621.3734,206220.9656,,527943.9587,,,596517.5,,,303666.3168,346791.8125,605012.293,315799.4959,,,,,52153.00615,,,784124.1848,,,,669942.375,,,,,387115.2813,326628.3125,301244.3284,417905.9863,,,,539899.25,,,209258.2998,,,393031.2188,,,,
,1102029.125,784466.6469,864249.375,710147.2373,1108142,1074795.5,893071.3967,1369341.125,,1435320.5,534345.375,754094.6657,309862.7813,,,,489444.4688,,1022504.313,,752637.125,1385433.543,1183659.125,930107.125,413904.6875,,562170.858,,1011966.688,1132709.5,,381502.4759,628506.8156,,1036072.438,,567967.4905,1203467.802,519421.75,,658960.5,,,878613.625,1496408.237,743409.6875,,,,1749814.875,620960.125,929357.952,1303556.746,,761216.3042,634125.6176,1082186.5,420143.45,723378.7327,620496.75,593127.875,900080.9375,594876.1103,660804.0099,785672,450238.446,1090093.25,502078.6563,311158.6331,,237895.0938,674827.0625,961528.3334,229692.9219,,,414623.7682,310070.3438,,1133993.875,114983.9341,,454470.7813,,561121.1875,459949.1001,545162,,721304.5625,458110.9688,747170.6875,,827051.375,,424231.0027,481259.1281,604201.5625,885433.9375,544309.0625,961773.4317,467137.0625,751291.9375,,539381.25,363432.9375,846224.3562,,612823.6625
,,,,,,,,,,,,,,,,,,,,,,,1684880.375,,,,,,,,,,,,,,,,,,,,,499359.4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273943.5776,832694.823,950764.125,809001.6416,567773.875,1082038.5,,774925.5625,,519522.8125,1060301.5,868408.75,889080.875,,760552.625,,,,,775722.3125,,777201.7901
,,,,,,,,,,,,,,,,,,,,,,,172228.6672,77824.35356,,,,,,,,,,,,,,,,,,,,152553.5823,554329.551,314486.8954,,,203405.1231,240260.3255,,,505518.0625,,,154659.8123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562986.0144,1066385.125,1648870,997480.2562,,962813.75,,381825.0313,193246.877,281229.158,419427.5,,,259569.5625,139333.8478,293361.7188,,,,,,253137.2188
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82283.54031,,,,,,,1543174.714,1004380.25,1168411.748,640813.5625,956008.455,,,987903.8125,428687.9412,,,,650194.3342,,610466.875,610259.125,,809995.8075,,662243.8792,612293.9375,,,,644323.6591,270075.0625,,182841.6875,,,97584.58068,,,,,,,466500.2868,,,,91930.24282,,,,,,,,,,,,,,,,,,,,,,
,,1289967.319,1332619.179,,843527.4292,,1242547.359,1194937.838,,1150746.809,,1416100.5,1070798.813,865151.4898,1087319.753,554157.3125,740690.75,915514.2739,1365194.625,1232315.375,732115.0625,,,,815265.9102,,831171.698,760724.5038,649312.8159,,,734430.0088,1242676.92,922939.6699,1063084.326,,1006299.202,,,876486.6462,668956.0488,,650129.4984,,,1016229.692,1186673.506,,1356533.217,1401466.25,1319791.081,1324048.625,755883.2308,,1240229.233,1296327.625,1174837,,,1167423.749,828721.3485,1427078.64,,,1236382.875,,793270.8489,804824.6382,716241.8125,801199.9802,1042530.752,796412.5896,674566.4219,1164065.777,824520.8159,637136.9375,668465.3125,1114105.859,,664257.4375,,,,,616964.539,814019.2964,883129.3324,677535.125,664731.375,676943.9375,,662276.5585,650449.1875,,640938.875,1163499.125,724323.5625,,1186878.5,,1042573.003,,670459.4982,1107767.75,635872.8197,,,
,833437.7482,1025403.364,,,815942.625,780843.9592,678274.2035,,,1214426.493,,,,687280.6899,712248.9307,,428819.9937,,,1262601.5,1326274,,834388.1875,667230.0625,617322.0451,1067861.231,684324.5625,876231.25,528738.3564,,,532877.3877,,,,,,1086668,,,792310.6994,,,606302.6444,1010038.188,957479.25,799441.6875,979298.5104,1287647.04,,,,795968.6875,,883846.875,,1160354,,1370981.887,,1000535.625,838828.1875,902519,857002.25,,499713.5311,,,454057.7456,,591861.625,,560444.875,,,,,,,600848.625,,,,,,,689184.125,837298.1341,853217.5,,731368.0734,796612.0593,,798551.5625,727569.4375,,903811.5625,,,929615.625,835642.625,917421.6708,,1086172.25,,,,
,461368.6324,782238.1875,,,114124.0494,452647.1052,,667665.5037,574084.4299,337262.222,214672.4063,,,,,379196.5313,395535.2563,,604605.5625,493846,509281.6563,240771.2223,,,,247437.4375,444044.2156,217108.6587,,533693.3125,,,197684.5,233659.4063,,,,488768.783,292501.9633,,,215802.3904,283568.1563,353288.4539,,382504.6122,,588821.3948,656226.375,754180.1875,425857.9063,1076654.5,628447,,371294.535,929648.8125,555422.25,469090.4225,877687.75,549793.125,710202.125,909321.5625,465775.4958,862419.125,,668614.8228,991457.8184,948569.125,244355.2879,,913740.1875,857340.75,1270201.125,783070.8508,505179.3203,437010.2913,,,,1204143,203412.9753,,,,,1347858.375,,,,,,,,,,,,,174699.5741,,,,,112840.8359,,99629.42603,,
,,,,,,,,,,,,,,,,,,,,,,205203.6973,219577.0487,,181157.9531,106711.322,,,,,,,115449.3672,,,111583.9147,,,219813.3178,205482.0814,122929.2943,,126294.4289,,660959.1478,503287.0547,604178.0388,504184.96,,1250760.125,535363.9375,1312751.875,,769656.875,340858.9077,1167045.25,636070.5707,621409.1875,474768.9449,774238.4375,,811180.1875,,832225.375,497475.4341,,,,,,,,,,75053.71398,,,,,,,490275.4688,,,,,46400.65142,,96958.05725,80822.19586,,,,,,,,,,,,,,,,,,
,,,,,983970.9868,1665013.825,,1348110.604,,365438.6302,2125291.617,,,,,,,,2861308.078,,1103314.987,,,,,188880.8048,,,,,,,,,,,3389746.49,,,3900973.718,,,,,,2173087.692,,1499148.598,,1540688.259,642285.6685,,970523.5712,,,,,,,,,1211297.795,695351.0747,1541682.936,,,,,300492.4742,,,,,,,,,,,,,,,,,,,,,640846.4929,674140.4331,,,,,,,,,,,,,,,1056292.024,,
,,92813.87359,,,,,,222713.0781,,,,,,,,,,,,,,,,,,,,69928.42257,,,208562.8557,,,,,,,,,,,,,,408017.6922,324367.8028,,1198064.5,,173772.3914,,,178024.9533,395952.5625,,,,846198.375,354415.302,242636.5255,,165330.0183,467651.6563,,328056.8125,,,,,,,,,,,,,,,,,,,,,157353.0197,,,,60407.85628,,,,,,,,,,,,,,,,,,
1073052.743,1127822.125,791142.184,811189.6016,,1071921.599,985663.6355,1122279,1154524.5,671559.9335,1134806,862659.5628,,,1193958.25,1098189.75,1078177.426,694772.7827,,1115914.875,1123396.375,1046751.727,,,1068071.625,894285.0293,1122465.875,,887142.3125,1034418.171,798870.0306,1015559.23,,653720.3198,1029573.52,662836.6455,1024658.774,1134972.375,1057537.063,749046.9845,1029188.423,1001899.619,,,516953.0332,504766.9034,1096336.875,,1162755.625,970421.9458,1135374,579961.7914,570448.0613,,1123622,1138164.5,,1131975.557,933052.5916,,,,1066838.021,1058726.996,1148028.676,1138193.75,762223.0356,932064.25,477834.9562,,935826.0057,718266.9917,,902259.8848,,565538.2432,,464163.8407,438156.4937,,984591.625,,,,,902998.9641,959453.375,951962.6428,395376.0177,926211.3645,964326.875,,,464784.0729,931907.3125,950957.8125,417440.9449,897593.9339,310146.3711,913975.2447,,907582.7274,,960662.1222,,,,774843.9142,923531.84
,,,,,,,,,,,59701.62953,,,,,,,,,,,,,,,,,,,,,,,,,,,174332.5108,,,,,,168681.4119,,,,,,,51620.62109,,,,,,,,,,,,,331165.2658,,245043.9356,1506806.911,,,258114.125,147886.2511,479024.3438,1172524,,346901.7813,,228112.5262,,168999.9023,,,,432309.4288,,,406814.25,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,112677.9762,,208119.7188,,,,,62520.125,,,,,,,,,,,,,,,166634.4795,,346175.2449,78864.125,,,,110566.2431,,,,,,,,,,120163.3161,,92968.3418,,,,,,,,,,,,,,,,,,,,,,448478.4688,,,478102.3438,424402.6563,614635.7281,347500.5313,551162.1645,700976.3726,318701.4359,991237.375,635297.3125,1071689,,,1093735.727,,981424.9138,982346.9375,754738.8125,,952611.1875
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307897.9306,,555573.4681,,519314.3441,,872052.9616,795712.2783,489987.6916,763811.2994,788570.5613,673281.8369,660494.1442,703190.085,1074783.781,,1071331.46,925205.0513,,832348.5475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94842.02224,,,,,,,,,,125712.7221,,,,,,,,,,,480733.5177,754309.9749,786480.1875,752606.382,713368,809422.4375,723758.3125,800165.25,717469.1875,,914741.3154,784652.9809,723407.5179,895484.875,793412.75,402411.2923,844978.75,897603.3125,,856415.125,,847104.875
816469.875,,789727.8125,794996.9901,724534,737881.875,766818.7604,778152.1406,807408.2578,869814.625,379989.8647,797929.3506,376723.5313,,830437.1875,,787231.375,785072.5625,778487.5625,738520.4375,773032.7542,,707622.9375,766797.4375,792362.4375,715284.7876,,807465.5754,787655.4375,,,683574.8125,,,773055.0625,767013.625,,782406.0625,714311.5625,802455.625,757204.5,745051.7149,765614.125,739309.9149,779057.986,804574,818593.3125,603525.6468,792948.5928,819627.0312,818269.8125,780166.8954,806767.1875,645259.6985,,807994.7102,793497.75,832824.9486,813245.875,771223.1875,,815680.8616,805168.875,793380.3171,,804242.3094,,689411.8125,738727.8125,,676103.25,,669897.3125,716309.1942,745376.1226,,696034.3125,714435.9375,665599.8125,,711841.4375,190199.1411,640489.1234,638357.9147,,679540.3125,686524.375,693711.25,,685067.25,664208.5491,682207.1612,693187.375,,,640134.6942,,714287,688703.0625,581375.4131,,,686824.5625,667771.875,687458.5625,679879.375,681964.7405,,
,408759.3438,,,286001.4822,,555462.4469,249786.381,,,381215.2276,,248443.7681,299974.3125,323755.5473,212542.7247,370433.5747,304216.3125,,,241471.3305,,,,178023.7734,257053.125,299038.25,309264.0938,,,,,203482.8944,204572.0054,,422019.4688,298722.875,,332845.6549,,395307.9063,,397080.2188,266014.8015,,,551904.9772,,,,,,593855.75,345372.0412,389034.5466,455716.7525,679363.1329,861752.3338,530263.7294,685694.2503,,233677.1963,746660.6451,817478.1067,709142.1875,562146.6525,218794.4719,314662.0313,,,,265915.9454,,297383.4251,350344.758,163268.43,342652.5365,,,306914.5302,281465.9521,,,,,,,,,,,,,,,,,,,,,,,,,128387.9316,,,
194714.8125,,1203751.082,,397281.0625,158112.5398,853774,115479.2047,,1226997.375,759204.0625,,674209.7969,160975.4798,469715.5938,280055.0938,484560.375,494367.3577,282105.4638,,393131.5648,,198630.993,,,323079.9688,314107.5313,186139.6646,,778412.256,,,260048.3518,288836.7915,182572.5469,250255.9531,,144420.9849,224721.8063,255844.0781,173007.5781,106043.0859,,158961.974,152178.8908,230686.6049,133836.8391,,165867.875,,,,,173807.693,,,203927.0938,170270.5658,,215218.1353,,,,169081.6234,272527.6937,,108613.4063,,89181.97624,135822.0625,,,71418.49341,,,,,,110944.6797,143529.8281,108640.647,,,109597.606,,,119332.8125,56280.70388,,,,,,,,,163234.1563,,39525.46402,,,,,,,,,,
91562.77534,207079.1917,305834.5625,,377127.5625,,344058.7961,264744.125,277226.4688,,362571.2813,142070.25,245766.4375,182386.4065,141358.4063,165586.2824,229873.7146,,89272.46818,266962.2188,,297269.9295,852778.5057,671009.9375,477126.2054,523267.7795,340788.4375,200768.5773,317670.7691,349848.153,457069.0187,,178970.8155,244951.0602,,323408.6801,,283382.2813,232448.2849,280771.1248,515014.1875,175251.1009,310013.598,432724.6552,248229.5967,648075.1875,345519.3325,,,219889.3573,390569.9375,,619579.324,,,276195.5,310237.375,347865.875,,311836.762,253892.25,295037.0625,560627.2999,379666.7966,283417.4408,323660.5938,270529.7936,323916.5,267378.9068,101352.2353,232631.8251,,339013.7188,,249027.4361,,,295102.7311,319818.7188,,,127477.6328,508909.599,179002.6851,70100.26563,,106780.6513,,,,369891.4597,,,,,,,,,,,,,,,806640.1779,,,294988.2813
,,,,,,,,,,,,,361187.9256,,,,,,,,,,315229.9262,,,,,,,,,,,,,,,,,324914.2082,,,,,,357053.522,436016.9819,638565.9203,,,509417.3407,671385.125,,,513783.8925,1024205.625,379990.0983,571565.5,568661.9219,733244.2173,,755048,,581578.4833,573593.8717,,179563.2938,754639.4499,,,,234750.2311,,209768.0066,132937.7412,,,168023.1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,103249.7109,,,,,,,,117997.3215,,,,,,,,,58257.28562,,,,,,,,,,,,,,,,,,,,,,,,,,,720843.375,475486.4063,,507681.5313,,419147.4688,262799.7455,561085.3987,,365969.9688,,299532.25,,197172.1336,361876.7188,397724.2656,311745.0938,569544.3125,,361623.1875,404727.8438,,,,,,,,,,,,,,,69856.26296,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,106215.4609,,,31928.28481,,,,157511.6406,,99185.95315,43019.3944,,,,,,76555.17886,,,,,,,,,,,,,,,,,,,,,,,70195.21711,,,,,541719.1379,516820.0311,,362285.0938,,386046.6563,331464.2752,652094.9375,416842.6875,,376283.3438,,127751.2119,,492825.625,196152.8641,178699.1981,616304.75,394610.0056,141708.3244,320086.0893,,,,,,,,,,,107198.3521,,,,,,,,,,,,,,,,,,,,219749.2813,,,,,,,,,,,,
48422.84671,,,,,27881.73863,,,,55629.97627,,,44700.73438,,,,,,35126.05078,,,,,170845.3681,,,,,,,,,,,,66248.38728,,,,59310.5293,,,,,,291477.8612,486197.75,583292.3125,169636.2022,,243642.7172,,527434.875,,,205580.922,396447.1156,250483.9375,194661.9723,326320.5938,269620.3438,216331.7969,368010.674,136026.0803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
