accession,name,synonyms,chemical_formula,average_molecular_weight,monisotopic_molecular_weight,iupac_name,traditional_iupac,cas_registry_number,smiles,inchi,inchikey
HMDB0002032,8-Hydroxyguanine,"8-Oxoguanine|1H-Purine-6,8-dione, 2-amino-7,9-dihydro-1H-purine-6,8-dione|2-amino-6,8-Dihydroxypurine|2-amino-7,9-dihydro-1H-Purine-6,8-dione|2-amino-Purine-6,8-diol|2-Aminopurine-6,8-diol|7,8-dihydro-8-Oxoguanine|oxo-8-Gua|8-oxo-7,8-Dihydroguanine|8-Hydroxyguanine",C5H5N5O2,167.1255,167.044324429,"2-amino-6,7,8,9-tetrahydro-1H-purine-6,8-dione",8-hydroxyguanine,5614-64-2,NC1=NC2=C(NC(=O)N2)C(=O)N1,"InChI=1S/C5H5N5O2/c6-4-8-2-1(3(11)10-4)7-5(12)9-2/h(H5,6,7,8,9,10,11,12)",CLGFIVUFZRGQRP-UHFFFAOYSA-N
HMDB0002038,N(6)-Methyllysine,"(S)-2-Amino-6-methylaminohexanoic acid|epsilon-Methyllysine|Epsilon-N-Methyllysine|MeLys|N(zeta)-Methyllysine|N-Epsilon-Methyllysine|N-Methyl-L-lysine|N6-Methyl-L-lysine|N(epsilon)-Methyl-L-lysine|(S)-2-Amino-6-methylaminohexanoate|N(Z)-Methyllysine|N(Ζ)-methyllysine|(2S)-2-amino-6-(methylamino)Hexanoate|(2S)-2-amino-6-(methylamino)Hexanoic acid|N(6)-Methyl-L-lysine|N-Methyl-lysine|epsilon-N-Methyllysine hydrochloride, (L-lys)-isomer|epsilon-N-Methyllysine, (DL-lys)-isomer|N(epsilon)-Monomethyl-lysine|N(6)-Methyllysine",C7H16N2O2,160.2141,160.121177766,(2S)-2-amino-6-(methylamino)hexanoic acid,N-methyl-L-lysine,1188-07-4,CNCCCC[C@H](N)C(O)=O,"InChI=1S/C7H16N2O2/c1-9-5-3-2-4-6(8)7(10)11/h6,9H,2-5,8H2,1H3,(H,10,11)/t6-/m0/s1",PQNASZJZHFPQLE-LURJTMIESA-N
HMDB0002044,8-Hydroxyguanosine,"7,8-dihydro-8-oxo-Guanosine|8-Oxoguanosine|Purine-6,8(1H,9H)-dione, 2-amino-9-.beta.-D-ribofuranosyl- (7ci,8ci)|Purine-6,8(1H,9H)-dione, 2-amino-9-.beta.-delta-ribofuranosyl- (7ci,8ci)|7,8-dihydro-8-Oxoguanosine|8-OxoGuo|8-oxo-7,8-Dihydroguanosine|8-OxoG nucleoside|8-Hydroxyguanosine",C10H13N5O6,299.2401,299.086583173,"2-amino-9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-6,7,8,9-tetrahydro-1H-purine-6,8-dione","2-amino-9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1,7-dihydropurine-6,8-dione",3868-31-3,NC1=NC2=C(NC(=O)N2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1,"InChI=1S/C10H13N5O6/c11-9-13-6-3(7(19)14-9)12-10(20)15(6)8-5(18)4(17)2(1-16)21-8/h2,4-5,8,16-18H,1H2,(H,12,20)(H3,11,13,14,19)/t2-,4-,5-,8-/m1/s1",FPGSEBKFEJEOSA-UMMCILCDSA-N
HMDB0002061,Hyaluronic acid,"(2S,3S,4R,5R,6R)-3-[(2S,3R,4R,5S,6R)-3-Acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4,5,6-trihydroxyoxane-2-carboxylic acid|2-Acetamido-2-deoxy-beta-D-gluco-hexopyranosyl-(1->4)-beta-D-gluco-hexopyranuronic acid|WURCS=2.0/2,2,1/[a2122a-1b_1-5][a2122h-1b_1-5_2*ncc/3=o]/1-2/a4-b1|(2S,3S,4R,5R,6R)-3-[(2S,3R,4R,5S,6R)-3-Acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4,5,6-trihydroxyoxane-2-carboxylate|2-Acetamido-2-deoxy-b-D-gluco-hexopyranosyl-(1->4)-b-D-gluco-hexopyranuronate|2-Acetamido-2-deoxy-b-D-gluco-hexopyranosyl-(1->4)-b-D-gluco-hexopyranuronic acid|2-Acetamido-2-deoxy-beta-D-gluco-hexopyranosyl-(1->4)-beta-D-gluco-hexopyranuronate|2-Acetamido-2-deoxy-β-D-gluco-hexopyranosyl-(1->4)-β-D-gluco-hexopyranuronate|2-Acetamido-2-deoxy-β-D-gluco-hexopyranosyl-(1->4)-β-D-gluco-hexopyranuronic acid|Hyaluronate|Hyaluronan|(2S,3S,4R,5R,6R)-3-{[(2S,3R,4R,5S,6R)-4,5-dihydroxy-3-[(1-hydroxyethylidene)amino]-6-(hydroxymethyl)oxan-2-yl]oxy}-4,5,6-trihydroxyoxane-2-carboxylate",(C14H21NO11)nH2O,Nah,Nah,Nah,,9004-61-9,[H]O[C@H]1[C@H](O)[C@@H](CO)O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2C(O)=O)[C@@H]1NC(C)=O,"InChI=1S/C14H23NO12/c1-3(17)15-5-7(19)6(18)4(2-16)25-14(5)27-10-8(20)9(21)13(24)26-11(10)12(22)23/h4-11,13-14,16,18-21,24H,2H2,1H3,(H,15,17)(H,22,23)/t4-,5-,6-,7-,8-,9-,10+,11+,13-,14+/m1/s1",LJKKEBYAXYCTNF-GIXQJHCPSA-N
HMDB0002100,Palmitoylethanolamide,Anandamide (16:0)|Hexadecanoyl ethanolamide|Hydroxyethylpalmitamide|Monoethanolamine palmitic acid amide|N-(2-Hydroxyethyl)palmitamide|N-Hexadecanoylethanolamine|N-Palmitoylethanolamine|Palmidrol|Palmidrolum|Palmitamide mea|Palmitic acid monoethanolamide|Palmitinsaeure-beta-hydroxyethylamid|Palmitoyl-ea|PEA|Palmdrol prodes|Monoethanolamine palmitate amide|Palmitate monoethanolamide|Palmitinsaeure-b-hydroxyethylamid|Palmitinsaeure-β-hydroxyethylamid|Impulsin|MimyX|N-(2-Hydroxyethyl)palmitate|Palmitylethanolamide|N-Hexadecanoyl ethanolamine|Loramine P 256|N-(2-Hydroxyethyl)hexadecanamide|N-Hexadecyl-ethanolamine|Palmitoyl ethanolamide|Palmitoylethanolamide,C18H37NO2,299.4919,299.282429433,N-(2-hydroxyethyl)hexadecanamide,palmitoylethanolamide,544-31-0,CCCCCCCCCCCCCCCC(=O)NCCO,"InChI=1S/C18H37NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-18(21)19-16-17-20/h20H,2-17H2,1H3,(H,19,21)",HXYVTAGFYLMHSO-UHFFFAOYSA-N
HMDB0002103,27-Hydroxycholesterol,"(25R)-26-Hydroxycholesterol|5-Cholestene-3beta,27-diol|Cholest-5-ene-3beta,27-diol|5-Cholestene-3b,27-diol|5-Cholestene-3β,27-diol|Cholest-5-ene-3b,27-diol|Cholest-5-ene-3β,27-diol|(25R)-Cholest-5-ene-3b,26-diol|(25R)-Cholest-5-ene-3beta,26-diol|(3-beta)-Cholest-5-ene-3,26-diol|(3b,25R)-Cholest-5-ene-3,26-diol|(3beta,25R)-Cholest-5-ene-3,26,diol|26-Hydroxycholesterol(25R)|Cholest-(25R)-5-en-3beta,26-diol|Cholest-5-ene-3-b,27-diol|Cholest-5-ene-3-beta,26-diol|Cholest-5-ene-3-beta,27-diol|Cholest-5-ene-3beta,26-diol|Cholest-5-ene-3 beta,27-diol|5-Cholestene-3 beta,27-diol|(25R)-Cholest-5-ene-3β,26-diol|(3Β,25R)-cholest-5-ene-3,26-diol|(3beta,25R)-Cholest-5-ene-3,26-diol|Cholest-5-ene-3β,26-diol|(3Β)-cholest-5-ene-3,26-diol|(3beta)-Cholest-5-ene-3,26-diol|26-Hydroxycholesterol|(3 beta,25R)-Cholest-5-ene-3,26-diol|26-Hydroxycholesterol, (25R)|(25R)-Cholest-5-ene-3 beta,26-diol",C27H46O2,402.6529,402.349780716,"(1S,2R,5S,10S,11S,14R,15R)-14-[(2R,6R)-7-hydroxy-6-methylheptan-2-yl]-2,15-dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-7-en-5-ol","(1S,2R,5S,10S,11S,14R,15R)-14-[(2R,6R)-7-hydroxy-6-methylheptan-2-yl]-2,15-dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-7-en-5-ol",20380-11-4,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC[C@@H](C)CO,"InChI=1S/C27H46O2/c1-18(17-28)6-5-7-19(2)23-10-11-24-22-9-8-20-16-21(29)12-14-26(20,3)25(22)13-15-27(23,24)4/h8,18-19,21-25,28-29H,5-7,9-17H2,1-4H3/t18-,19-,21+,22+,23-,24+,25+,26+,27-/m1/s1",FYHRJWMENCALJY-YSQMORBQSA-N
HMDB0002111,Water,"[OH2]|Acqua|Agua|Aqua|BOUND water|Dihydridooxygen|Dihydrogen oxide|eau|H2O|HOH|Hydrogen hydroxide|Wasser|Purified water|Purified water in containers|Water, purified|Sterile purified water in containers|Water for injection|Water for injection in containers|Sterile water|Steam|Hydrogen oxide",H2O,18.0153,18.010564686,water,water,7732-18-5,O,InChI=1S/H2O/h1H2,XLYOFNOQVPJJNP-UHFFFAOYSA-N
HMDB0002151,Dimethyl sulfoxide,"(CH3)2SO|Dimethyl sulfur oxide|Dimethyl sulphoxide|Dimethyli sulfoxidum|Dimethylsulfoxid|Dimethylsulfoxyde|Dimetil sulfoxido|DMSO|Methylsulfinylmethane|S(O)Me2|Sulfinylbis(methane)|Rimso-50|Zymso|Dimethyl sulphur oxide|Dimethyli sulphoxidum|Dimethylsulphoxid|Dimethylsulphoxyde|Dimetil sulphoxido|Methylsulphinylmethane|Sulphinylbis(methane)|(Methylsulfinyl)methane|Dimethyl sulfoxixde|Dimethyl sulpoxide|Dimethylsulphoxide|Rheumabene|Rimso|Dimexide|Research ind. corp. brand 1 OF dimethyl sulfoxide|Shire brand OF dimethyl sulfoxide|Sulphoxide, dimethyl|Dimethylsulphinyl|Merckle brand OF dimethyl sulfoxide|Research ind. corp. brand 2 OF dimethyl sulfoxide|Sclerosol|Sulfoxide, dimethyl|Dimethylsulfoxide|rimso 100|Rimso50|Rimso 50",C2H6OS,78.133,78.013935504,methanesulfinylmethane,dimethyl sulfoxide,67-68-5,CS(C)=O,InChI=1S/C2H6OS/c1-4(2)3/h1-2H3,IAZDPXIOMUYVGZ-UHFFFAOYSA-N
HMDB0002174,Cobalamin,"alpha-(5,6-Dimethylbenzimidazolyl)cobamide|Cbl|Cobalamin (III)|Cobalamin(1+)|Cobalamin(III)|a-(5,6-Dimethylbenzimidazolyl)cobamide|Α-(5,6-dimethylbenzimidazolyl)cobamide|5,6-Dimethyl-1-a-D-ribofuranosyl-1H-benzimidazole|5,6-Dimethyl-1-a-D-ribofuranosylbenzimidazole|5,6-Dimethyl-1-alpha-delta-ribofuranosyl-1H-benzimidazole|5,6-Dimethyl-1-alpha-delta-ribofuranosylbenzimidazole|Cob(III)alamin|Cobalamine|Cobinamide ion(1+) dihydrogen phosphate (ester) inner salt 3'-ester|Cobinamide ion(1+) dihydrogen phosphate (ester) inner salt 3'-ester with 5,6-dimethyl-1-alpha-delta-ribofuranosyl-1H-benzimidazole|Hydroxomin|Rubivite|Rubratope-57|Rubratope-60|Ruvite|Vitamin b12|b 12, Vitamin|b12, Vitamin|Cobalamins|Cyanocobalamin|Eritron|Vitamin b 12",C62H88CoN13O14P,1329.369,1328.563777,"(10S,12R,13S,17R,23R,24R,25R,30S,35S,36S,40S,41S,42R,46R)-30,35,40-tris(2-carbamoylethyl)-24,36,41-tris(carbamoylmethyl)-46-hydroxy-12-(hydroxymethyl)-5,6,17,23,28,31,31,36,38,41,42-undecamethyl-15,20-dioxo-11,14,16-trioxa-2lambda5,9,19,26,43lambda5,44lambda5,45lambda5-heptaaza-15lambda5-phospha-1-cobaltadodecacyclo[27.14.1.1^{1,34}.1^{2,9}.1^{10,13}.0^{1,26}.0^{3,8}.0^{23,27}.0^{25,42}.0^{32,44}.0^{39,43}.0^{37,45}]heptatetraconta-2(47),3,5,7,27,29(44),32,34(45),37,39(43)-decaene-2,43,44,45-tetrakis(ylium)-1,1-diuid-15-olate","(10S,12R,13S,17R,23R,24R,25R,30S,35S,36S,40S,41S,42R,46R)-30,35,40-tris(2-carbamoylethyl)-24,36,41-tris(carbamoylmethyl)-46-hydroxy-12-(hydroxymethyl)-5,6,17,23,28,31,31,36,38,41,42-undecamethyl-15,20-dioxo-11,14,16-trioxa-2lambda5,9,19,26,43lambda5,44lambda5,45lambda5-heptaaza-15lambda5-phospha-1-cobaltadodecacyclo[27.14.1.1^{1,34}.1^{2,9}.1^{10,13}.0^{1,26}.0^{3,8}.0^{23,27}.0^{25,42}.0^{32,44}.0^{39,43}.0^{37,45}]heptatetraconta-2(47),3,5,7,27,29(44),32,34(45),37,39(43)-decaene-2,43,44,45-tetrakis(ylium)-1,1-diuid-15-olate",13408-78-1,[H][C@]12[C@H](CC(N)=O)[C@@]3(C)CCC(=O)NC[C@@H](C)OP([O-])(=O)O[C@H]4[C@@H](O)[C@H](O[C@@H]4CO)N4C=[N+](C5=CC(C)=C(C)C=C45)[Co--]456N1C3=C(C)C1=[N+]4C(=CC3=[N+]5C(=C(C)C4=[N+]6[C@]2(C)[C@@](C)(CC(N)=O)[C@@H]4CCC(N)=O)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]1CCC(N)=O,"InChI=1S/C62H90N13O14P.Co/c1-29-20-39-40(21-30(29)2)75(28-70-39)57-52(84)53(41(27-76)87-57)89-90(85,86)88-31(3)26-69-49(83)18-19-59(8)37(22-46(66)80)56-62(11)61(10,25-48(68)82)36(14-17-45(65)79)51(74-62)33(5)55-60(9,24-47(67)81)34(12-15-43(63)77)38(71-55)23-42-58(6,7)35(13-16-44(64)78)50(72-42)32(4)54(59)73-56;/h20-21,23,28,31,34-37,41,52-53,56-57,76,84H,12-19,22,24-27H2,1-11H3,(H15,63,64,65,66,67,68,69,71,72,73,74,77,78,79,80,81,82,83,85,86);/q;+3/p-2/t31-,34-,35-,36-,37+,41-,52-,53-,56-,57+,59-,60+,61+,62+;/m1./s1",NSLAUEAQDBERRV-DSRCUDDDSA-L
HMDB0002175,Silicon,Si(4+)|Si|Silica|Silicate|Silicic acid,Si,28.0855,27.976926533,silicon(4+) ion,silicon(4+) ion,7440-21-3,[Si+4],InChI=1S/Si/q+4,RWMKKWXZFRMVPB-UHFFFAOYSA-N
HMDB0002179,Peroxynitrite,"[NO(OOH)]|HNO(O2)|[No(oo)](-)|Peroxonitrite|(-)Oxoperoxonitrate|(1-)Oxidoperoxidonitrate|Azoperoxoite|Pernitrite|Peroxynitrate|Peroxynitrosyl (NO3)|Acid, peroxynitrous|Peroxynitrites|Peroxonitrites|Peroxynitrous acids|Peroxynitrous acid|Peroxynitrous acid, potassium salt|Acids, peroxynitrous|Peroxynitrite",HNO3,63.012,62.995642896,hydroxy nitrite,peroxynitrous acid,19059-14-4,OON=O,InChI=1S/HNO3/c2-1-4-3/h3H,CMFNMSMUKZHDEY-UHFFFAOYSA-N
HMDB0002183,Docosahexaenoic acid,"(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid|22:6(N-3)|22:6-4, 7,10,13,16,19|4,7,10,13,16,19-Docosahexaenoic acid|all-cis-4,7,10,13,16,19-Docosahexaenoic acid|all-cis-DHA|Cervonic acid|DHA|Doconexent|DOCOSA-4,7,10,13,16,19-hexaenoIC ACID|Docosahexaenoate|4Z,7Z,10Z,13Z,16Z,19Z-Docosahexaenoic acid|(4Z,7Z,10Z,13Z,16Z,19Z)-Docosa-4,7,10,13,16,19-hexaenoic acid|(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoate|4,7,10,13,16,19-Docosahexaenoate|all-cis-4,7,10,13,16,19-Docosahexaenoate|Cervonate|DOCOSA-4,7,10,13,16,19-hexaenoate|4Z,7Z,10Z,13Z,16Z,19Z-Docosahexaenoate|(4Z,7Z,10Z,13Z,16Z,19Z)-Docosa-4,7,10,13,16,19-hexaenoate|all-Z-Docosahexaenoate|all-Z-Docosahexaenoic acid|cis-4,7,10,13,16,19-Docosahexanoate|cis-4,7,10,13,16,19-Docosahexanoic acid|Doconexento|Doconexentum|Doxonexent|Acids, docosahexaenoic|Acids, docosahexenoic|Docosahexaenoic acid, 4,7,10,13,16,19-(all-Z-isomer)|Docosahexaenoic acid (all-Z isomer)|Docosahexaenoic acid, 4,7,10,13,16,19-isomer|Efalex|(4Z,7Z,10Z,13Z,16Z,19Z)-4,7,10,13,16,19-Docosahexaenoic acid|(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexenoic acid|(all-Z)-4,7,10,13,16,19-Docosahexaenoic acid|4-cis,7-cis,10-cis,13-cis,16-cis,19-cis-Docosahexaenoic acid|FA(22:6(4Z,7Z,10Z,13Z,16Z,19Z))|FA(22:6n3)|delta4,7,10,13,16,19-Docosahexaenoic acid|Δ4,7,10,13,16,19-docosahexaenoic acid|Docosahexaenoic acid|Choline docosahexaenoate|Choline docosahexaenoic acid|Docosahexaenoylcholine",C22H32O2,328.4883,328.240230268,"(4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoic acid",docosahexaenoic acid,6217-54-5,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(O)=O,"InChI=1S/C22H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h3-4,6-7,9-10,12-13,15-16,18-19H,2,5,8,11,14,17,20-21H2,1H3,(H,23,24)/b4-3-,7-6-,10-9-,13-12-,16-15-,19-18-",MBMBGCFOFBJSGT-KUBAVDMBSA-N
HMDB0002200,Leukotriene E4,"(5S-(5R*,6S*(s*),7E,9E,11Z,14Z))-6-((2-amino-2-carboxyethyl)thio)-5-hydroxy-7,9,11,14-eicosatetraenoic acid|(7E,9E,11Z,14Z)-(5S,6R)-6-(Cystein-S-yl)-5-hydroxyeicosa-7,9,11,14-tetraenoate|(7E,9E,11Z,14Z)-(5S,6R)-6-(Cystein-S-yl)-5-hydroxyicosa-7,9,11,14-tetraenoate|5S-Hydroxy,6R-(S-cysteinyl),7E,9E,11Z,14Z-eicosatetraenoic acid|LTE4|(5S-(5R*,6S*(s*),7E,9E,11Z,14Z))-6-((2-amino-2-carboxyethyl)thio)-5-hydroxy-7,9,11,14-eicosatetraenoate|(7E,9E,11Z,14Z)-(5S,6R)-6-(Cystein-S-yl)-5-hydroxyeicosa-7,9,11,14-tetraenoic acid|(7E,9E,11Z,14Z)-(5S,6R)-6-(Cystein-S-yl)-5-hydroxyicosa-7,9,11,14-tetraenoic acid|5S-Hydroxy,6R-(S-cysteinyl),7E,9E,11Z,14Z-eicosatetraenoate|Leukotriene e|Leukotriene e-4|Leukotrienes e|Leukotriene e 4",C23H37NO5S,439.61,439.239244469,"(5S,6R,7E,9E,11Z,14Z)-6-{[(2R)-2-amino-2-carboxyethyl]sulfanyl}-5-hydroxyicosa-7,9,11,14-tetraenoic acid",leukotriene E4,75715-89-8,CCCCC\C=C/C\C=C/C=C/C=C/[C@@H](SC[C@H](N)C(O)=O)[C@@H](O)CCCC(O)=O,"InChI=1S/C23H37NO5S/c1-2-3-4-5-6-7-8-9-10-11-12-13-16-21(30-18-19(24)23(28)29)20(25)15-14-17-22(26)27/h6-7,9-13,16,19-21,25H,2-5,8,14-15,17-18,24H2,1H3,(H,26,27)(H,28,29)/b7-6-,10-9-,12-11+,16-13+/t19-,20-,21+/m0/s1",OTZRAYGBFWZKMX-FRFVZSDQSA-N
HMDB0002243,Picolinic acid,"2-Carboxypyridine|2-Picolinic acid|2-Pyridinecarboxylic acid|alpha-Picolinic acid|alpha-Pyridinecarboxylic acid|O-Pyridinecarboxylic acid|PYRIDINE-2-carboxylIC ACID|2-Picolinate|2-Pyridinecarboxylate|a-Picolinate|a-Picolinic acid|alpha-Picolinate|Α-picolinate|Α-picolinic acid|a-Pyridinecarboxylate|a-Pyridinecarboxylic acid|alpha-Pyridinecarboxylate|Α-pyridinecarboxylate|Α-pyridinecarboxylic acid|O-Pyridinecarboxylate|PYRIDINE-2-carboxylate|Picolinate|2-Methoxy-5-aminopyridine|4,5-Dehydropipecolic acid|5-amino-2-Fluoropyridine|5-amino-2-Methoxypyridine|5-amino-2-Pyridinecarboxylic acid|5-Aminopicolinic acid|5-Aminopyridine-2-carboxylic acid|6-Methoxy-pyridin-3-ylamine|Acide picolique|L-Baikiain|Phenyl-(2-pyridyl)acetonitrile|PLA|Pyridine-carboxylique-2|Pyridinecarboxylic acid-(2)|Iron(III) picolinate|Zinc picolinate|Picolinic acid, sodium salt|2-Pyridine carboxylic acid|Calcium dipicolinate trihydrate|Picolinic acid, hydrochloride|Chromium picolinate",C6H5NO2,123.1094,123.032028409,pyridine-2-carboxylic acid,picolinic acid,98-98-6,OC(=O)C1=CC=CC=N1,"InChI=1S/C6H5NO2/c8-6(9)5-3-1-2-4-7-5/h1-4H,(H,8,9)",SIOXPEMLGUPBBT-UHFFFAOYSA-N
HMDB0002265,"14,15-DiHETrE","(5Z,8Z,11Z)-14,15-Dihydroxyeicosa-5,8,11-trienoic acid|(5Z,8Z,11Z)-14,15-Dihydroxyicosa-5,8,11-trienoic acid|14,15-Dihydroxy-5Z,8Z,11Z-eicosatrienoic acid|14,15-Dihydroxyeicosatrienoic acid|(5Z,8Z,11Z)-14,15-Dihydroxyeicosa-5,8,11-trienoate|(5Z,8Z,11Z)-14,15-Dihydroxyicosa-5,8,11-trienoate|14,15-Dihydroxy-5Z,8Z,11Z-eicosatrienoate|14,15-Dihydroxyeicosatrienoate|(+/-)14,15-dihetre|14,15-DHET",C20H34O4,338.4816,338.245709576,"(5Z,8Z,11Z)-14,15-dihydroxyicosa-5,8,11-trienoic acid","14,15-DiHETrE",77667-09-5,CCCCCC(O)C(O)C\C=C/C\C=C/C\C=C/CCCC(O)=O,"InChI=1S/C20H34O4/c1-2-3-12-15-18(21)19(22)16-13-10-8-6-4-5-7-9-11-14-17-20(23)24/h4,6-7,9-10,13,18-19,21-22H,2-3,5,8,11-12,14-17H2,1H3,(H,23,24)/b6-4-,9-7-,13-10-",SYAWGTIVOGUZMM-ILYOTBPNSA-N
HMDB0002274,Methylcobalamin,CO-METHYLCOBALAMIN|MeCbl|Mecobalamin|Methylcob(III)alamin|Methyl(III)cobalamin,C63H91CoN13O14P,1344.3823,1343.587806391,"(10S,12R,13S,17R,23R,24R,25R,30S,35S,36S,40S,41S,42R,46R)-30,35,40-tris(2-carbamoylethyl)-24,36,41-tris(carbamoylmethyl)-46-hydroxy-12-(hydroxymethyl)-1,5,6,17,23,28,31,31,36,38,41,42-dodecamethyl-15,20-dioxo-11,14,16-trioxa-2lambda5,9,19,26,43lambda5,44lambda5,45lambda5-heptaaza-15lambda5-phospha-1-cobaltadodecacyclo[27.14.1.1^{1,34}.1^{2,9}.1^{10,13}.0^{1,26}.0^{3,8}.0^{23,27}.0^{25,42}.0^{32,44}.0^{39,43}.0^{37,45}]heptatetraconta-2(47),3,5,7,27,29(44),32,34(45),37,39(43)-decaene-2,43,44,45-tetrakis(ylium)-1,1,1-triuid-15-olate","(10S,12R,13S,17R,23R,24R,25R,30S,35S,36S,40S,41S,42R,46R)-30,35,40-tris(2-carbamoylethyl)-24,36,41-tris(carbamoylmethyl)-46-hydroxy-12-(hydroxymethyl)-1,5,6,17,23,28,31,31,36,38,41,42-dodecamethyl-15,20-dioxo-11,14,16-trioxa-2lambda5,9,19,26,43lambda5,44lambda5,45lambda5-heptaaza-15lambda5-phospha-1-cobaltadodecacyclo[27.14.1.1^{1,34}.1^{2,9}.1^{10,13}.0^{1,26}.0^{3,8}.0^{23,27}.0^{25,42}.0^{32,44}.0^{39,43}.0^{37,45}]heptatetraconta-2(47),3,5,7,27,29(44),32,34(45),37,39(43)-decaene-2,43,44,45-tetrakis(ylium)-1,1,1-triuid-15-olate",13422-55-4,C1(CC[C@@]2([C@@H](CC(N)=O)[C@@]3([C@@]4([N+]5=C([C@H]([C@@]4(CC(N)=O)C)CCC(N)=O)C(C)=C4[N+]6=C(C=C7[N+]8=C([C@H](C7(C)C)CCC(N)=O)C(C)=C2N3[Co-3]568([N+]2=CN([C@H]3O[C@@H]([C@@H](OP(O[C@@H](CN1)C)([O-])=O)[C@H]3O)CO)C1=CC(C)=C(C=C21)C)C)[C@H]([C@@]4(CC(N)=O)C)CCC(N)=O)C)[H])C)=O,"InChI=1S/C62H90N13O14P.CH3.Co/c1-29-20-39-40(21-30(29)2)75(28-70-39)57-52(84)53(41(27-76)87-57)89-90(85,86)88-31(3)26-69-49(83)18-19-59(8)37(22-46(66)80)56-62(11)61(10,25-48(68)82)36(14-17-45(65)79)51(74-62)33(5)55-60(9,24-47(67)81)34(12-15-43(63)77)38(71-55)23-42-58(6,7)35(13-16-44(64)78)50(72-42)32(4)54(59)73-56;;/h20-21,23,28,31,34-37,41,52-53,56-57,76,84H,12-19,22,24-27H2,1-11H3,(H15,63,64,65,66,67,68,69,71,72,73,74,77,78,79,80,81,82,83,85,86);1H3;/q;;+2/p-2/t31-,34-,35-,36-,37+,41-,52-,53-,56-,57+,59-,60+,61+,62+;;/m1../s1",JEWJRMKHSMTXPP-WZHZPDAFSA-L
HMDB0002283,"14R,15S-EpETrE","(14R,15S)-EpETrE|(14R,15S)-Epoxy-(5Z,8Z,11Z)-eicosatrienoic acid|(14R,15S)-Epoxy-(5Z,8Z,11Z)-icosatrienoic acid|14(S),15(R)-EET|14R,15S-Epoxy-5Z,8Z,11Z-eicosatrienoic acid|(14R,15S)-Epoxy-(5Z,8Z,11Z)-eicosatrienoate|(14R,15S)-Epoxy-(5Z,8Z,11Z)-icosatrienoate|14R,15S-Epoxy-5Z,8Z,11Z-eicosatrienoate|14(S),15(R)-Epoxy-(5Z,8Z,11Z)-eicosatrienoate|14(S),15(R)-Epoxy-(5Z,8Z,11Z)-eicosatrienoic acid|14,15-EET|14,15-Epoxy-5,8,11-eicosatrienoic acid|14,15-Epoxy-5,8,11-eicosatrienoic acid, (2alpha(5Z,8Z,11Z),3alpha)-isomer|14,15-Epoxyeicosatrienoic acid|14,15-Oxido-5,8,11-eicosatrienoic acid|14R,15S-EpETrE",C20H32O3,320.4663,320.23514489,"(5Z,8Z,11Z)-13-[(2R,3S)-3-pentyloxiran-2-yl]trideca-5,8,11-trienoic acid","14R,15S-EpETrE",98103-48-1,CCCCC[C@@H]1O[C@@H]1C\C=C/C\C=C/C\C=C/CCCC(O)=O,"InChI=1S/C20H32O3/c1-2-3-12-15-18-19(23-18)16-13-10-8-6-4-5-7-9-11-14-17-20(21)22/h4,6-7,9-10,13,18-19H,2-3,5,8,11-12,14-17H2,1H3,(H,21,22)/b6-4-,9-7-,13-10-/t18-,19+/m0/s1",JBSCUHKPLGKXKH-LLZJRKGESA-N
HMDB0002290,Arsenic,As(3+)|Arsen|Arsenic black|Arsenic elemental|As|Grey arsenic|Metallic arsenic,As,74.9216,74.921596417,arsenic(3+) ion,arsenic(3+) ion,7440-38-2,[As+3],InChI=1S/As/q+3,LULLIKNODDLMDQ-UHFFFAOYSA-N
